661,270,851,270,851,321,661,321
160,274,230,274,230,314,160,314
248,274,398,274,398,321,248,321
409,274,526,274,526,321,409,321
537,274,650,274,650,321,537,321
862,274,946,274,946,321,862,321
701,328,855,328,855,380,701,380
230,332,380,332,380,376,230,376
398,332,687,332,687,380,398,380
869,332,942,332,942,376,869,376
961,332,1111,332,1111,376,961,376
1125,332,1238,332,1238,380,1125,380
1253,332,1403,332,1403,380,1253,380
1421,332,1494,332,1494,380,1421,380
160,387,296,387,296,434,160,434
310,387,427,387,427,434,310,434
533,387,683,387,683,434,533,434
699,389,814,384,816,434,702,440
829,387,983,387,983,438,829,438
994,387,1070,387,1070,434,994,434
1089,387,1275,387,1275,434,1089,434
1290,387,1403,387,1403,434,1290,434
438,391,515,391,515,434,438,434
1421,391,1494,391,1494,434,1421,434
160,445,310,445,310,493,160,493
328,445,508,445,508,493,328,493
899,445,1041,445,1041,493,899,493
1059,445,1147,445,1147,493,1059,493
1162,445,1275,445,1275,493,1162,493
1293,445,1366,445,1366,493,1293,493
1385,445,1494,445,1494,493,1385,493
522,449,606,449,606,489,522,489
621,449,654,449,654,486,621,486
668,449,719,449,719,486,668,486
741,449,818,449,818,489,741,489
840,449,884,449,884,493,840,493
160,504,237,504,237,551,160,551
248,504,434,504,434,551,248,551
445,504,566,504,566,551,445,551
160,646,277,646,277,694,160,694
306,650,383,650,383,694,306,694
475,650,698,650,698,698,475,698
709,650,825,650,825,698,709,698
840,650,1056,650,1056,698,840,698
1074,650,1187,650,1187,698,1074,698
1202,650,1348,650,1348,698,1202,698
1363,654,1494,654,1494,694,1363,694
160,738,237,738,237,785,160,785
1184,738,1341,738,1341,789,1184,789
248,741,398,741,398,789,248,789
409,741,486,741,486,785,409,785
500,741,613,741,613,782,500,782
624,741,709,741,709,785,624,785
716,741,793,741,793,789,716,789
807,741,917,741,917,789,807,789
931,741,1041,741,1041,789,931,789
1056,741,1169,741,1169,789,1056,789
